Generation,Evaluation Score
656,182858134.2528663414996720874210293
657,182858134.2528663414996720874210293
658,182858134.2528663414996720874210293
659,182858134.2528663414996720874210293
660,182858134.2528663414996720874210293
661,182858134.2528663414996720874210293
662,182858134.2528663414996720874210293
663,182858134.2528663414996720874210293
664,182858134.2528663414996720874210293
665,182858134.2528663414996720874210293
666,182858134.2528663414996720874210293
667,182858134.2528663414996720874210293
668,182858134.2528663414996720874210293
669,182858134.2528663414996720874210293
670,182858134.2528663414996720874210293
671,182858134.2528663414996720874210293
672,182858134.2528663414996720874210293
673,182858134.2528663414996720874210293
674,182858134.2528663414996720874210293
675,182858134.2528663414996720874210293
676,182858134.2528663414996720874210293
677,182858134.2528663414996720874210293
678,182858134.2528663414996720874210293
679,182858134.2528663414996720874210293
680,182858134.2528663414996720874210293
681,182858134.2528663414996720874210293
682,182858134.2528663414996720874210293
683,182858134.2528663414996720874210293
684,182858134.2528663414996720874210293
685,182858134.2528663414996720874210293
686,182858134.2528663414996720874210293
687,182858134.2528663414996720874210293
688,182858134.2528663414996720874210293
689,182858134.2528663414996720874210293
690,182858134.2528663414996720874210293
691,182858134.2528663414996720874210293
692,182858134.2528663414996720874210293
693,182858134.2528663414996720874210293
694,182858134.2528663414996720874210293
695,182858134.2528663414996720874210293
696,182858134.2528663414996720874210293
697,182858134.2528663414996720874210293
698,182858134.2528663414996720874210293
699,182858134.2528663414996720874210293
700,182858134.2528663414996720874210293
701,182858134.2528663414996720874210293
702,182858134.2528663414996720874210293
703,182858134.2528663414996720874210293
704,182858134.2528663414996720874210293
705,182858134.2528663414996720874210293
706,182858134.2528663414996720874210293
707,182858134.2528663414996720874210293
708,182858134.2528663414996720874210293
709,182858134.2528663414996720874210293
710,182858134.2528663414996720874210293
711,182858134.2528663414996720874210293
712,182858134.2528663414996720874210293
713,182858134.2528663414996720874210293
714,182858134.2528663414996720874210293
715,182858134.2528663414996720874210293
716,182858134.2528663414996720874210293
717,182858134.2528663414996720874210293
718,182858134.2528663414996720874210293
719,182858134.2528663414996720874210293
720,182858134.2528663414996720874210293
721,182858134.2528663414996720874210293
722,182858134.2528663414996720874210293
723,182858134.2528663414996720874210293
724,182858134.2528663414996720874210293
725,182858134.2528663414996720874210293
726,182858134.2528663414996720874210293
727,182858134.2528663414996720874210293
728,182858134.2528663414996720874210293
729,182858134.2528663414996720874210293
730,182858134.2528663414996720874210293
731,182858134.2528663414996720874210293
732,182858134.2528663414996720874210293
733,182858134.2528663414996720874210293
734,182858134.2528663414996720874210293
735,182858134.2528663414996720874210293
736,182858134.2528663414996720874210293
737,182858134.2528663414996720874210293
738,182858134.2528663414996720874210293
739,182858134.2528663414996720874210293
740,182858134.2528663414996720874210293
741,182858134.2528663414996720874210293
742,182858134.2528663414996720874210293
743,182858134.2528663414996720874210293
744,182858134.2528663414996720874210293
745,182858134.2528663414996720874210293
746,182858134.2528663414996720874210293
747,182858134.2528663414996720874210293
748,182858134.2528663414996720874210293
749,182858134.2528663414996720874210293
750,182858134.2528663414996720874210293
751,182858134.2528663414996720874210293
752,182858134.2528663414996720874210293
753,182858134.2528663414996720874210293
754,182858134.2528663414996720874210293
755,182858134.2528663414996720874210293
756,182858134.2528663414996720874210293
757,182858134.2528663414996720874210293
758,182858134.2528663414996720874210293
759,182858134.2528663414996720874210293
760,182858134.2528663414996720874210293
761,182858134.2528663414996720874210293
762,182858134.2528663414996720874210293
763,182858134.2528663414996720874210293
764,182858134.2528663414996720874210293
765,182858134.2528663414996720874210293
766,182858134.2528663414996720874210293
767,182858134.2528663414996720874210293
768,182858134.2528663414996720874210293
769,182858134.2528663414996720874210293
770,182858134.2528663414996720874210293
771,182858134.2528663414996720874210293
772,182858134.2528663414996720874210293
773,182858134.2528663414996720874210293
774,182858134.2528663414996720874210293
775,182858134.2528663414996720874210293
776,182858134.2528663414996720874210293
777,182858134.2528663414996720874210293
778,182858134.2528663414996720874210293
779,182858134.2528663414996720874210293
780,182858134.2528663414996720874210293
781,182858134.2528663414996720874210293
782,182858134.2528663414996720874210293
783,182858134.2528663414996720874210293
784,182858134.2528663414996720874210293
785,182858134.2528663414996720874210293
786,182858134.2528663414996720874210293
787,182858134.2528663414996720874210293
788,182858134.2528663414996720874210293
789,182858134.2528663414996720874210293
790,182858134.2528663414996720874210293
791,182858134.2528663414996720874210293
792,182858134.2528663414996720874210293
793,182858134.2528663414996720874210293
794,182858134.2528663414996720874210293
795,182858134.2528663414996720874210293
796,182858134.2528663414996720874210293
797,182858134.2528663414996720874210293
798,182858134.2528663414996720874210293
799,182858134.2528663414996720874210293
800,182858134.2528663414996720874210293
801,182858134.2528663414996720874210293
802,182858134.2528663414996720874210293
803,182858134.2528663414996720874210293
804,182858134.2528663414996720874210293
805,182858134.2528663414996720874210293
806,182858134.2528663414996720874210293
807,182858134.2528663414996720874210293
808,182858134.2528663414996720874210293
809,182858134.2528663414996720874210293
810,182858134.2528663414996720874210293
811,182858134.2528663414996720874210293
812,182858134.2528663414996720874210293
813,182858134.2528663414996720874210293
814,182858134.2528663414996720874210293
815,182858134.2528663414996720874210293
816,182858134.2528663414996720874210293
817,182858134.2528663414996720874210293
818,182858134.2528663414996720874210293
819,182858134.2528663414996720874210293
820,182858134.2528663414996720874210293
821,182858134.2528663414996720874210293
822,182858134.2528663414996720874210293
823,182858134.2528663414996720874210293
824,182858134.2528663414996720874210293
825,182858134.2528663414996720874210293
826,182858134.2528663414996720874210293
827,182858134.2528663414996720874210293
828,182858134.2528663414996720874210293
829,182858134.2528663414996720874210293
830,182858134.2528663414996720874210293
831,182858134.2528663414996720874210293
832,182858134.2528663414996720874210293
833,182858134.2528663414996720874210293
834,182858134.2528663414996720874210293
835,182858134.2528663414996720874210293
836,182858134.2528663414996720874210293
837,182858134.2528663414996720874210293
838,182858134.2528663414996720874210293
839,182858134.2528663414996720874210293
840,182858134.2528663414996720874210293
841,182858134.2528663414996720874210293
842,182858134.2528663414996720874210293
843,182858134.2528663414996720874210293
844,182858134.2528663414996720874210293
845,182858134.2528663414996720874210293
846,182858134.2528663414996720874210293
847,182858134.2528663414996720874210293
848,182858134.2528663414996720874210293
849,182858134.2528663414996720874210293
850,182858134.2528663414996720874210293
851,182858134.2528663414996720874210293
852,182858134.2528663414996720874210293
853,182858134.2528663414996720874210293
854,182858134.2528663414996720874210293
855,182858134.2528663414996720874210293
856,182858134.2528663414996720874210293
857,182858134.2528663414996720874210293
858,182858134.2528663414996720874210293
859,182858134.2528663414996720874210293
860,182858134.2528663414996720874210293
861,182858134.2528663414996720874210293
862,182858134.2528663414996720874210293
863,182858134.2528663414996720874210293
864,182858134.2528663414996720874210293
865,182858134.2528663414996720874210293
866,182858134.2528663414996720874210293
867,182858134.2528663414996720874210293
868,182858134.2528663414996720874210293
869,182858134.2528663414996720874210293
870,182858134.2528663414996720874210293
